ISIN,0,1,logo_url
DE000A0H08F7,ASSA ABLOY AB,6.08%,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Yale_Logo_Primary_RGB.png/120px-Yale_Logo_Primary_RGB.png
DE000A0H08F7,Heidelberg Materials AG,5.93%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/HeidelbergCement_2022_logo.svg/330px-HeidelbergCement_2022_logo.svg.png
DE000A0H08F7,Amrize,5.34%,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Amrita-vishwa-vidyapeetham-logo.svg/400px-Amrita-vishwa-vidyapeetham-logo.svg.png
DE000A0H08F7,Geberit AG,5.27%,https://pngsource.in/assets/thumbnails/Geberit-logo-logotyp-Pngsource-HUWACZ3J.png
DE000A0H08F7,Ferrovial SE,5.16%,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/OJ_C_17_of_2023_-_DA_Danish.pdf/page1-150px-OJ_C_17_of_2023_-_DA_Danish.pdf.jpg
DE000A0H08F7,Kingspan Group Plc,2.65%,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Vicwest_Building_Products_Logo_500x500.jpg/120px-Vicwest_Building_Products_Logo_500x500.jpg
DE000A0H08Q4,SAP SE,29.66%,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/SAP_Logo_2023.jpg/250px-SAP_Logo_2023.jpg
DE000A0H08Q4,ASML Holding NV,15.02%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/ASML_Holding_N.V._logo.svg/500px-ASML_Holding_N.V._logo.svg.png
DE000A0H08Q4,RELX,11.06%,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/RELX_logo.svg/400px-RELX_logo.svg.png
DE000A0H08Q4,Prosus NV,7.76%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Prosus_N.V._logo.jpeg/120px-Prosus_N.V._logo.jpeg
DE000A0H08Q4,Infineon Technologies AG,6.03%,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Infineon-Logo.svg/250px-Infineon-Logo.svg.png
DE000A0H08Q4,Amadeus IT Group SA,4.12%,https://upload.wikimedia.org/wikipedia/commons/6/6f/AF_Group_Logo_klein.png
DE000A0H08Q4,ASM International NV,3.24%,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/ASM_Logo.svg/330px-ASM_Logo.svg.png
DE000A0H08Q4,Capgemini SE,3.18%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Sogeti-logo-2018.svg/250px-Sogeti-logo-2018.svg.png
DE000A0H08Q4,Dassault Systèmes SE,2.85%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/OJ_C_72_of_2022_-_CS_Czech.pdf/page1-150px-OJ_C_72_of_2022_-_CS_Czech.pdf.jpg
DE000A0H08Q4,Hexagon AB,2.31%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Hexagon_logo.svg/330px-Hexagon_logo.svg.png
IE00BKWQ0K51,SAP SE,33.45%,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/SAP_Logo_2023.jpg/250px-SAP_Logo_2023.jpg
IE00BKWQ0K51,ASML Holding NV,18.39%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/ASML_Holding_N.V._logo.svg/500px-ASML_Holding_N.V._logo.svg.png
